,num_campo,Ba_ppm ,Co_ppm ,Cr_ppm ,Cu_ppm ,Fe_pct   ,Mg_pct   ,Mn_ppm ,V_ppm ,K-classes,Lat,Long
832,1015-RH-S-0099,300.0,10.0,70.0,50.0,1.5,0.1,500.0,30.0,0,-14.691497678,-39.145871396
833,1015-RH-S-0101,1000.0,20.0,100.0,50.0,5.0,0.3,300.0,30.0,0,-14.69227631,-39.172854514
834,1015-RH-S-0101R,1000.0,20.0,70.0,50.0,3.0,0.2,300.0,30.0,0,-14.690313383,-39.172757914
835,1015-RH-S-0104,150.0,30.0,200.0,15.0,7.0,0.15,1000.0,150.0,0,-14.693895881,-39.213628708
836,1015-RH-S-0110,200.0,20.0,70.0,50.0,3.0,0.07,700.0,150.0,0,-14.729196367,-39.165356757
837,1015-RH-S-0111,200.0,30.0,300.0,70.0,10.0,0.5,700.0,150.0,0,-14.719264055,-39.145841813
838,1015-RH-S-0113,70.0,10.0,70.0,7.0,1.0,0.03,300.0,50.0,0,-14.728228548,-39.15356605
839,1015-RH-S-0114,150.0,20.0,70.0,30.0,3.0,0.5,700.0,70.0,0,-14.744590115,-39.128207
840,1015-RH-S-0115,70.0,20.0,100.0,50.0,3.0,0.03,1000.0,150.0,0,-14.74820765,-39.126351017
841,1015-RH-S-0116,150.0,15.0,70.0,50.0,3.0,0.05,500.0,150.0,0,-14.751834852,-39.104984592
842,1015-RH-S-0117,100.0,15.0,70.0,30.0,7.0,0.07,500.0,150.0,0,-14.752089845,-39.118575558
843,1015-RH-S-0120,150.0,20.0,70.0,30.0,7.0,0.07,500.0,150.0,0,-14.747759527,-39.118918371
844,1015-RH-S-0121,70.0,7.0,20.0,70.0,0.7,0.03,300.0,70.0,0,-14.738899301,-39.114029723
845,1015-RH-S-0123,200.0,15.0,70.0,30.0,2.0,0.07,500.0,100.0,0,-14.738404206,-39.103989599
846,1015-RH-S-0124,70.0,10.0,30.0,30.0,0.7,0.03,300.0,70.0,0,-14.739178701,-39.101262477
847,1015-RH-S-0125,150.0,20.0,70.0,30.0,3.0,0.05,500.0,100.0,0,-14.735552825,-39.12076974
848,1015-RH-S-0126,100.0,20.0,70.0,20.0,3.0,0.03,700.0,100.0,0,-14.737360352,-39.122164243
849,1015-RH-S-0128,100.0,20.0,70.0,30.0,5.0,0.07,300.0,100.0,0,-14.745967357,-39.081981955
850,1015-RH-S-0129,150.0,15.0,70.0,70.0,7.0,0.15,500.0,150.0,0,-14.756357488,-39.068061275
851,1015-RH-S-0131,150.0,10.0,30.0,30.0,1.5,0.15,300.0,70.0,0,-14.761139598,-39.068718143
852,1015-RH-S-0132,150.0,10.0,30.0,70.0,1.5,0.15,300.0,70.0,0,-14.767218929,-39.067600643
853,1015-RH-S-0133,150.0,10.0,50.0,50.0,1.5,0.1,300.0,70.0,0,-14.781684418,-39.069689567
854,1015-RH-S-0135,100.0,15.0,50.0,30.0,5.0,0.05,300.0,100.0,0,-14.76314309,-39.08919507
855,1015-RH-S-0135R,150.0,15.0,70.0,20.0,5.0,0.15,300.0,100.0,0,-14.762238962,-39.089194702
856,1015-RH-S-0137,150.0,20.0,70.0,30.0,7.0,0.1,500.0,150.0,0,-14.781788851,-39.077659537
857,1015-RH-S-0139,300.0,15.0,50.0,50.0,7.0,0.05,500.0,70.0,0,-14.780469106,-39.105844167
858,1015-RH-S-0141,300.0,15.0,70.0,30.0,1.5,0.15,200.0,70.0,0,-14.801887979,-39.12978203
859,1015-RH-S-0143,200.0,20.0,70.0,30.0,5.0,0.15,500.0,70.0,0,-14.792949798,-39.146820152
860,1015-RH-S-0145,300.0,15.0,70.0,30.0,2.0,0.07,200.0,70.0,0,-14.788142963,-39.154608699
861,1015-RH-S-0146,300.0,15.0,70.0,30.0,3.0,0.07,500.0,70.0,0,-14.78766893,-39.151992367
862,1015-RH-S-0147,1000.0,30.0,70.0,50.0,7.0,0.3,1500.0,50.0,2,-14.795186745,-39.17980998
863,1015-TF-S-0001,700.0,30.0,70.0,10.0,3.0,0.5,700.0,100.0,0,-14.929967904,-39.037193139
864,1015-TF-S-0003,1000.0,30.0,150.0,30.0,5.0,0.7,1500.0,100.0,2,-14.950761914,-39.040916389
865,1015-TF-S-0005,50.0,5.0,30.0,5.0,1.0,0.05,500.0,30.0,0,-14.939211313,-39.036302396
866,1015-TF-S-0006,500.0,30.0,200.0,30.0,5.0,0.7,3000.0,70.0,1,-14.950759642,-39.052075402
867,1015-TF-S-0007,700.0,15.0,150.0,20.0,3.0,0.7,500.0,50.0,0,-14.979690599,-39.054872514
868,1015-TF-S-0008,70.0,7.0,30.0,10.0,1.5,0.05,500.0,70.0,0,-14.98918296,-39.058130223
869,1015-TF-S-0009,50.0,7.0,30.0,7.0,2.0,0.05,500.0,70.0,0,-14.996667319,-39.0508233
870,1015-TF-S-0011,150.0,10.0,30.0,7.0,2.0,0.05,1000.0,70.0,0,-14.99369451,-39.086499569
871,1015-TF-S-0016,100.0,15.0,50.0,15.0,5.0,0.07,700.0,150.0,0,-14.972448431,-39.085096023
872,1015-TF-S-0020,150.0,7.0,70.0,10.0,3.0,0.07,700.0,150.0,0,-14.975163578,-39.077191905
873,1015-TF-S-0021,150.0,10.0,50.0,20.0,3.0,0.07,500.0,150.0,0,-14.980063682,-39.079892045
874,1015-TF-S-0022,70.0,5.0,50.0,5.0,1.5,0.05,500.0,100.0,0,-14.961597305,-39.089741561
875,1015-TF-S-0025,100.0,7.0,50.0,5.0,2.0,0.07,500.0,100.0,0,-14.91849996,-39.110727023
876,1015-TF-S-0027,70.0,10.0,50.0,20.0,3.0,0.07,700.0,150.0,0,-14.920904348,-39.107855534
877,1015-TF-S-0028,50.0,7.0,70.0,20.0,1.5,0.05,700.0,100.0,0,-14.923620078,-39.100418488
878,1015-TF-S-0032,50.0,7.0,70.0,15.0,1.5,0.03,500.0,100.0,0,-14.949825939,-39.127398123
879,1015-TF-S-0037,150.0,15.0,70.0,10.0,7.0,0.07,2000.0,100.0,2,-14.955506939,-39.155894548
880,1015-TF-S-0040,200.0,10.0,50.0,20.0,3.0,0.07,700.0,150.0,0,-14.966061974,-39.183206563
881,1015-TF-S-0041,150.0,20.0,100.0,20.0,7.0,0.15,1000.0,300.0,0,-14.968319988,-39.18599845
882,1015-TF-S-0044,500.0,30.0,200.0,50.0,7.0,0.3,1500.0,200.0,2,-14.991539681,-39.201818369
883,1015-TF-S-0045,100.0,7.0,50.0,15.0,5.0,0.05,700.0,200.0,0,-14.957047996,-39.145536269
884,1015-TF-S-0047,50.0,7.0,70.0,15.0,7.0,0.07,700.0,300.0,0,-14.963826424,-39.149260728
885,1015-TF-S-0049,150.0,7.0,70.0,15.0,2.0,0.15,700.0,200.0,0,-14.970160803,-39.140430121
886,1015-TF-S-0054,150.0,7.0,50.0,5.0,5.0,0.07,1500.0,200.0,2,-14.996847285,-39.11300913
887,1015-TF-S-0055,150.0,7.0,70.0,15.0,7.0,0.07,500.0,150.0,0,-14.993214723,-39.141840296
888,1015-TF-S-0059,150.0,10.0,100.0,15.0,7.0,0.1,700.0,200.0,0,-14.940832398,-39.163303104
889,1015-TF-S-0060,300.0,10.0,70.0,20.0,5.0,0.15,1000.0,150.0,0,-14.93759633,-39.165050187
